graphNo, Vertex-Num, radius, diameter, entropy
0, 17, 1, 2, 4.07562
1, 17, 2, 3, 4.06973
2, 17, 2, 4, 4.05799
3, 17, 2, 3, 4.06789
4, 17, 2, 4, 4.05669
5, 17, 2, 3, 4.06827
6, 17, 2, 4, 4.06002
7, 17, 2, 3, 4.06965
8, 17, 2, 4, 4.06476
9, 17, 2, 3, 4.07124
10, 17, 2, 4, 4.06911
11, 17, 2, 3, 4.07255
12, 17, 2, 4, 4.07206
13, 17, 2, 3, 4.07328
14, 17, 2, 4, 4.0731
15, 17, 2, 4, 4.0653
16, 17, 2, 4, 4.06003
17, 17, 3, 5, 4.04644
18, 17, 3, 5, 4.05576
19, 17, 2, 4, 4.06425
20, 17, 2, 4, 4.05996
21, 17, 3, 5, 4.05202
22, 17, 3, 5, 4.04863
23, 17, 2, 4, 4.06267
24, 17, 3, 5, 4.05527
25, 17, 2, 4, 4.06497
26, 17, 2, 4, 4.06317
27, 17, 3, 5, 4.05835
28, 17, 3, 5, 4.05572
29, 17, 2, 4, 4.06525
30, 17, 3, 5, 4.05868
31, 17, 2, 4, 4.06642
32, 17, 2, 4, 4.06713
33, 17, 3, 5, 4.06391
34, 17, 3, 5, 4.06338
35, 17, 2, 4, 4.06735
36, 17, 3, 5, 4.06315
37, 17, 2, 4, 4.06788
38, 17, 2, 4, 4.07041
39, 17, 3, 5, 4.06783
40, 17, 3, 5, 4.06939
41, 17, 2, 4, 4.06872
42, 17, 3, 5, 4.06702
43, 17, 2, 4, 4.06891
44, 17, 2, 4, 4.07221
45, 17, 3, 5, 4.06969
46, 17, 3, 5, 4.07264
47, 17, 3, 5, 4.06936
48, 17, 2, 4, 4.06923
49, 17, 2, 4, 4.05703
50, 17, 3, 6, 4.03937
51, 17, 3, 5, 4.05067
52, 17, 3, 6, 4.04968
53, 17, 3, 5, 4.05593
54, 17, 2, 4, 4.06357
55, 17, 2, 4, 4.0589
56, 17, 3, 6, 4.04562
57, 17, 3, 6, 4.0477
58, 17, 3, 5, 4.05277
59, 17, 3, 5, 4.05448
60, 17, 3, 6, 4.05055
61, 17, 3, 5, 4.05577
62, 17, 3, 5, 4.05725
63, 17, 2, 4, 4.0644
64, 17, 3, 5, 4.05572
65, 17, 2, 4, 4.06302
66, 17, 2, 4, 4.06249
67, 17, 3, 6, 4.05552
68, 17, 3, 6, 4.05476
69, 17, 3, 5, 4.05887
70, 17, 3, 5, 4.05755
71, 17, 3, 6, 4.05425
72, 17, 3, 5, 4.05908
73, 17, 3, 5, 4.05887
74, 17, 2, 4, 4.0658
75, 17, 3, 5, 4.06191
76, 17, 3, 5, 4.06185
77, 17, 2, 4, 4.06574
78, 17, 2, 4, 4.06552
79, 17, 2, 4, 4.06602
80, 17, 3, 6, 4.06457
81, 17, 3, 6, 4.05988
82, 17, 3, 5, 4.06524
83, 17, 3, 5, 4.05968
84, 17, 3, 6, 4.05844
85, 17, 3, 5, 4.06325
86, 17, 3, 5, 4.06023
87, 17, 2, 4, 4.06712
88, 17, 3, 5, 4.06758
89, 17, 3, 5, 4.06626
90, 17, 2, 4, 4.06877
91, 17, 2, 4, 4.06721
92, 17, 2, 4, 4.06848
93, 17, 3, 6, 4.07064
94, 17, 3, 6, 4.06275
95, 17, 3, 5, 4.06995
96, 17, 3, 5, 4.06081
97, 17, 3, 6, 4.06173
98, 17, 3, 5, 4.06673
99, 17, 3, 5, 4.06095
100, 17, 2, 4, 4.06794
101, 17, 3, 5, 4.0712
102, 17, 3, 5, 4.06855
103, 17, 2, 4, 4.07097
104, 17, 2, 4, 4.06802
105, 17, 2, 4, 4.06936
106, 17, 3, 6, 4.07276
107, 17, 3, 6, 4.06331
108, 17, 3, 5, 4.07204
109, 17, 3, 5, 4.06865
110, 17, 2, 4, 4.07176
111, 17, 2, 4, 4.06106
112, 17, 3, 6, 4.05306
113, 17, 3, 5, 4.05612
114, 17, 3, 6, 4.05169
115, 17, 3, 5, 4.05713
116, 17, 2, 4, 4.06522
117, 17, 2, 4, 4.06413
118, 17, 3, 6, 4.06072
119, 17, 3, 6, 4.05854
120, 17, 3, 5, 4.06115
121, 17, 3, 5, 4.05851
122, 17, 3, 6, 4.05516
123, 17, 3, 5, 4.06026
124, 17, 3, 5, 4.05864
125, 17, 2, 4, 4.06653
126, 17, 3, 5, 4.06639
127, 17, 2, 4, 4.06751
128, 17, 2, 4, 4.06677
129, 17, 3, 6, 4.06717
130, 17, 3, 6, 4.06179
131, 17, 3, 5, 4.06631
132, 17, 3, 5, 4.0599
133, 17, 3, 6, 4.0589
134, 17, 3, 5, 4.06416
135, 17, 3, 5, 4.0598
136, 17, 2, 4, 4.06774
137, 17, 3, 5, 4.06983
138, 17, 3, 5, 4.06881
139, 17, 2, 4, 4.06958
140, 17, 2, 4, 4.06841
141, 17, 2, 4, 4.06826
142, 17, 3, 6, 4.07074
143, 17, 3, 6, 4.06279
144, 17, 3, 5, 4.06989
145, 17, 3, 6, 4.06169
146, 17, 3, 5, 4.06739
147, 17, 3, 5, 4.06029
148, 17, 3, 5, 4.07112
149, 17, 3, 5, 4.06908
150, 17, 2, 4, 4.07081
151, 17, 2, 4, 4.06844
152, 17, 2, 4, 4.06629
153, 17, 3, 6, 4.06386
154, 17, 3, 5, 4.0625
155, 17, 3, 6, 4.05822
156, 17, 3, 5, 4.06157
157, 17, 2, 4, 4.06776
158, 17, 2, 4, 4.06794
159, 17, 3, 6, 4.06791
160, 17, 3, 6, 4.0649
161, 17, 3, 5, 4.06659
162, 17, 3, 5, 4.06294
163, 17, 3, 6, 4.06155
164, 17, 3, 5, 4.06529
165, 17, 3, 5, 4.06257
166, 17, 2, 4, 4.0689
167, 17, 3, 5, 4.07005
168, 17, 2, 4, 4.06958
169, 17, 2, 4, 4.06854
170, 17, 3, 6, 4.06938
171, 17, 3, 6, 4.06401
172, 17, 3, 5, 4.06931
173, 17, 3, 5, 4.06838
174, 17, 2, 4, 4.0687
175, 17, 3, 6, 4.06693
176, 17, 3, 6, 4.06459
177, 17, 3, 5, 4.06619
178, 17, 2, 4, 4.07005
179, 17, 2, 4, 4.06205
180, 17, 3, 5, 4.05796
181, 17, 3, 6, 4.04613
182, 17, 3, 5, 4.05431
183, 17, 2, 4, 4.06161
184, 17, 3, 5, 4.05586
185, 17, 3, 5, 4.053
186, 17, 3, 6, 4.04868
187, 17, 2, 4, 4.06045
188, 17, 3, 5, 4.05841
189, 17, 3, 6, 4.05159
190, 17, 3, 6, 4.04866
191, 17, 3, 5, 4.06054
192, 17, 3, 5, 4.05444
193, 17, 2, 4, 4.0626
194, 17, 3, 5, 4.06125
195, 17, 3, 5, 4.0596
196, 17, 3, 6, 4.05789
197, 17, 2, 4, 4.06322
198, 17, 3, 5, 4.06158
199, 17, 3, 6, 4.05753
200, 17, 3, 6, 4.05543
201, 17, 3, 5, 4.06291
202, 17, 3, 5, 4.05789
203, 17, 2, 4, 4.06406
204, 17, 3, 5, 4.06564
205, 17, 3, 5, 4.06437
206, 17, 3, 6, 4.06509
207, 17, 2, 4, 4.06514
208, 17, 3, 5, 4.0652
209, 17, 3, 6, 4.06254
210, 17, 3, 6, 4.06248
211, 17, 3, 5, 4.06468
212, 17, 3, 5, 4.06206
213, 17, 2, 4, 4.06537
214, 17, 3, 5, 4.06835
215, 17, 3, 5, 4.06695
216, 17, 3, 6, 4.06932
217, 17, 2, 4, 4.0661
218, 17, 3, 5, 4.06795
219, 17, 3, 6, 4.06581
220, 17, 3, 6, 4.06776
221, 17, 3, 5, 4.06562
222, 17, 3, 5, 4.06547
223, 17, 2, 4, 4.06614
224, 17, 3, 5, 4.06911
225, 17, 3, 6, 4.06695
226, 17, 3, 6, 4.0702
227, 17, 3, 5, 4.06726
228, 17, 3, 6, 4.04404
229, 17, 3, 5, 4.05147
230, 17, 4, 7, 4.03763
231, 17, 3, 6, 4.05219
232, 17, 4, 7, 4.04325
233, 17, 3, 5, 4.05812
234, 17, 3, 6, 4.04734
235, 17, 3, 6, 4.04931
236, 17, 3, 5, 4.05475
237, 17, 4, 7, 4.04575
238, 17, 4, 7, 4.04684
239, 17, 3, 5, 4.05428
240, 17, 3, 6, 4.04778
241, 17, 3, 6, 4.05295
242, 17, 4, 7, 4.04532
243, 17, 3, 5, 4.05934
244, 17, 3, 6, 4.04914
245, 17, 2, 4, 4.06473
246, 17, 3, 6, 4.06332
247, 17, 3, 6, 4.0609
248, 17, 3, 5, 4.06358
249, 17, 3, 5, 4.06389
250, 17, 3, 5, 4.06115
251, 17, 3, 6, 4.05782
252, 17, 3, 5, 4.05849
253, 17, 4, 7, 4.05174
254, 17, 4, 7, 4.05788
255, 17, 3, 5, 4.05978
256, 17, 3, 6, 4.05048
257, 17, 3, 6, 4.05639
258, 17, 4, 7, 4.04922
259, 17, 3, 5, 4.06082
260, 17, 3, 6, 4.05088
261, 17, 2, 4, 4.06721
262, 17, 3, 6, 4.06914
263, 17, 3, 6, 4.06388
264, 17, 3, 5, 4.06767
265, 17, 3, 5, 4.06832
266, 17, 3, 5, 4.06237
267, 17, 3, 6, 4.0655
268, 17, 3, 5, 4.06152
269, 17, 4, 7, 4.05539
270, 17, 4, 7, 4.0667
271, 17, 3, 5, 4.06502
272, 17, 3, 6, 4.05207
273, 17, 3, 6, 4.06026
274, 17, 4, 7, 4.05308
275, 17, 3, 5, 4.06204
276, 17, 3, 6, 4.05212
277, 17, 2, 4, 4.06862
278, 17, 3, 6, 4.07166
279, 17, 3, 6, 4.0646
280, 17, 3, 5, 4.06941
281, 17, 3, 5, 4.07081
282, 17, 3, 6, 4.0704
283, 17, 3, 5, 4.06318
284, 17, 4, 7, 4.05669
285, 17, 4, 7, 4.07146
286, 17, 3, 5, 4.06847
287, 17, 3, 6, 4.06326
288, 17, 4, 7, 4.05579
289, 17, 3, 5, 4.06262
290, 17, 3, 6, 4.05258
291, 17, 3, 5, 4.05581
292, 17, 4, 7, 4.04022
293, 17, 3, 6, 4.05016
294, 17, 3, 6, 4.04947
295, 17, 3, 5, 4.05486
296, 17, 2, 4, 4.06145
297, 17, 3, 6, 4.05124
298, 17, 3, 5, 4.05662
299, 17, 4, 7, 4.04951
300, 17, 3, 6, 4.0518
301, 17, 4, 7, 4.0488
302, 17, 3, 6, 4.05221
303, 17, 3, 5, 4.05505
304, 17, 3, 6, 4.05358
305, 17, 4, 7, 4.04867
306, 17, 4, 7, 4.04653
307, 17, 3, 5, 4.05874
308, 17, 3, 6, 4.05256
309, 17, 3, 6, 4.04988
310, 17, 3, 6, 4.05476
311, 17, 3, 5, 4.06058
312, 17, 3, 5, 4.05783
313, 17, 4, 7, 4.04633
314, 17, 4, 7, 4.04803
315, 17, 3, 6, 4.05249
316, 17, 3, 6, 4.05366
317, 17, 3, 6, 4.05071
318, 17, 3, 5, 4.05523
319, 17, 3, 5, 4.05631
320, 17, 2, 4, 4.0625
321, 17, 3, 5, 4.05886
322, 17, 3, 6, 4.05574
323, 17, 3, 5, 4.05806
324, 17, 3, 6, 4.05556
325, 17, 3, 5, 4.05896
326, 17, 2, 4, 4.06199
327, 17, 3, 6, 4.0553
328, 17, 3, 5, 4.06122
329, 17, 3, 6, 4.05701
330, 17, 3, 5, 4.06134
331, 17, 4, 7, 4.05997
332, 17, 3, 6, 4.0576
333, 17, 4, 7, 4.05748
334, 17, 3, 6, 4.06005
335, 17, 3, 5, 4.05761
336, 17, 3, 6, 4.05684
337, 17, 4, 7, 4.05413
338, 17, 4, 7, 4.05299
339, 17, 3, 5, 4.06176
340, 17, 3, 6, 4.05811
341, 17, 3, 6, 4.05627
342, 17, 3, 6, 4.05689
343, 17, 3, 5, 4.06275
344, 17, 3, 5, 4.0612
345, 17, 4, 7, 4.05558
346, 17, 4, 7, 4.05446
347, 17, 3, 6, 4.05824
348, 17, 3, 6, 4.05635
349, 17, 3, 6, 4.05434
350, 17, 3, 5, 4.05854
351, 17, 3, 5, 4.05788
352, 17, 2, 4, 4.0639
353, 17, 3, 5, 4.06379
354, 17, 3, 6, 4.06277
355, 17, 3, 5, 4.06323
356, 17, 3, 6, 4.06332
357, 17, 3, 5, 4.0633
358, 17, 2, 4, 4.06418
359, 17, 3, 6, 4.06105
360, 17, 3, 6, 4.06086
361, 17, 3, 5, 4.0638
362, 17, 3, 5, 4.06337
363, 17, 3, 6, 4.06085
364, 17, 3, 5, 4.06475
365, 17, 4, 7, 4.06716
366, 17, 3, 6, 4.06107
367, 17, 4, 7, 4.06296
368, 17, 3, 6, 4.0659
369, 17, 3, 5, 4.05911
370, 17, 3, 6, 4.06009
371, 17, 4, 7, 4.05842
372, 17, 4, 7, 4.05928
373, 17, 3, 5, 4.06506
374, 17, 3, 6, 4.06268
375, 17, 3, 6, 4.06281
376, 17, 3, 6, 4.05826
377, 17, 3, 5, 4.06427
378, 17, 3, 5, 4.06431
379, 17, 4, 7, 4.06382
380, 17, 4, 7, 4.05891
381, 17, 3, 6, 4.06401
382, 17, 3, 6, 4.05805
383, 17, 3, 6, 4.05822
384, 17, 3, 5, 4.06243
385, 17, 3, 5, 4.05908
386, 17, 2, 4, 4.06507
387, 17, 3, 5, 4.06698
